Column1,Column2
attribute,value
วันเปิดตัว,มิถุนายน 2565
วันวางจำหน่าย,ยังไม่วางจำหน่าย
ขนาด,165.40 x 76.90 x 8.40 มม.
น้ำหนัก,192 กรัม
วัสดุ,"Glass front, plastic back, plastic frame"
SIM,"รองรับ 2 ซิมการ์ด (nano sim, nano sim)"
Technology,"HSPA 42.2/5.76 Mbps, LTE-A"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100
5G,-
ความเร็ว,"HSPA 42.2/5.76 Mbps, LTE-A"
ประเภท,PLS LCD
ขนาดหน้าจอ,6.60 นิ้ว
ความละเอียด,1080 x 2408 pixels
ระบบปฏิบัติการ,Android 12
ชิปประมวลผล,Samsung Exynos 850 S5E3830 2 GHz
ชิปกราฟิก,Mali-G52 MP1
หน่วยความจำ,4 GB
ความจุ,64 GB
Memory Card,microSD (1)
กล้องหลัก,"ตัวที่ 1: 50 MP, f/1.8, (wide), PDAF
ตัวที่ 2: 5 MP, f/2.2, 123? (ultrawide)
ตัวที่ 3: 2 MP, f/2.4, (depth)"
ความละเอียดวีดีโอ,1080p@30fps
กล้องหน้า,"ตัวที่ 1: 8 MP, f/2.2, (wide)"
Bluetooth,"5.0, A2DP, LE"
Wi-Fi,"802.11 a/b/g/n/ac, dual-b"
USB,Type-C
GPS,"A-GPS, GLONASS, GALILEO,"
NFC,รอบรับ
ความจุ,"5,000 mAh"
ประเภท,Non-removable Li-Po Batt
Fast Charging,รองรับ (15W)
วันเปิดตัว,มิถุนายน 2564
วันวางจำหน่าย,ยังไม่วางจำหน่าย
ขนาด,164.50 x 76.90 x 8.40 มม.
น้ำหนัก,195 กรัม
วัสดุ,"Glass front, plastic frame, plastic back"
SIM,"รองรับ 2 ซิมการ์ด (nano sim, nano sim)"
Technology,"HSPA 42.2/5.76 Mbps, LTE-A"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,-
ความเร็ว,"HSPA 42.2/5.76 Mbps, LTE-A"
ประเภท,TFT
ขนาดหน้าจอ,6.60 นิ้ว
ความละเอียด,1080 x 2408 pixels
ระบบปฏิบัติการ,Android 12
ชิปประมวลผล,Qualcomm Snapdragon 680 4G SM6225 2.4 GHz
ชิปกราฟิก,Adreno 610
หน่วยความจำ,8 GB
ความจุ,128 GB
Memory Card,microSD (1)
กล้องหลัก,"ตัวที่ 1: 50 MP, f/1.8, (wide), PDAF
ตัวที่ 2: 5 MP, f/2.2, (ultrawide), 1/5
ตัวที่ 3: 2 MP, f/2.4, (macro)
ตัวที่ 4: 2 MP, f/2.4, (depth)"
ความละเอียดวีดีโอ,1080p@30fps
กล้องหน้า,"ตัวที่ 1: 8 MP, f/2.2, (wide)"
Bluetooth,5.0
Wi-Fi,802.11 a/b/g/n/ac
USB,Type-C
GPS,"A-GPS, GLONASS, GALILEO,"
NFC,ไม่รองรับ
ความจุ,"5,000 mAh"
ประเภท,Non-removable Li-Po Batt
Fast Charging,รองรับ (25W)
วันเปิดตัว,กันยายน 2564
วันวางจำหน่าย,ยังไม่วางจำหน่าย
ขนาด,165.10 x 76.40 x 8.80 มม.
น้ำหนัก,195 กรัม
วัสดุ,"Glass front (Gorilla Glass 5), plastic frame, plastic back"
SIM,"รองรับ 2 ซิมการ์ด (nano sim, nano sim)"
Technology,"HSPA 42.2/5.76 Mbps, LTE-A"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,-
ความเร็ว,"HSPA 42.2/5.76 Mbps, LTE-A"
ประเภท,TFT
ขนาดหน้าจอ,6.60 นิ้ว
ความละเอียด,1080 x 2408 pixels
ระบบปฏิบัติการ,Android 12
ชิปประมวลผล,Samsung Exynos 850 S5E3830 2 GHz
ชิปกราฟิก,Mali-G52 MP1
หน่วยความจำ,4 GB
ความจุ,128 GB
Memory Card,microSD (1)
กล้องหลัก,"ตัวที่ 1: 50 MP, f/1.8, (wide), PDAF
ตัวที่ 2: 5 MP, f/2.2, (ultrawide), 1/5
ตัวที่ 3: 2 MP, f/2.4, (macro)
ตัวที่ 4: 2 MP, f/2.4, (depth)"
ความละเอียดวีดีโอ,1080p@30fps
กล้องหน้า,"ตัวที่ 1: 8 MP, f/2.2, (wide)"
Bluetooth,"5.0, A2DP, LE"
Wi-Fi,"802.11 b/g/n, Wi-Fi Direc"
USB,Type-C
GPS,"A-GPS, GLONASS, GALILEO,"
NFC,ไม่รองรับ
ความจุ,"5,000 mAh"
ประเภท,Non-removable Li-Po Batt
Fast Charging,รองรับ (25W)
วันเปิดตัว,สิงหาคม 2564
วันวางจำหน่าย,ยังไม่วางจำหน่าย
ขนาด,164.20 x 76.60 x 9.00 มม.
น้ำหนัก,205 กรัม
วัสดุ,"Glass front, plastic frame, plastic back"
SIM,"รองรับ 2 ซิมการ์ด (nano sim, nano sim)"
Technology,"HSPA 42.2/5.76 Mbps, LTE-A"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,2100/2600/3500/4700
ความเร็ว,"HSPA 42.2/5.76 Mbps, LTE-A"
ประเภท,LCD
ขนาดหน้าจอ,6.50 นิ้ว
ความละเอียด,720 x 1600 pixels
ระบบปฏิบัติการ,Android 11
ชิปประมวลผล,MediaTek Dimensity 720 MT6853 2 GHz
ชิปกราฟิก,Mali-G57 MC3
หน่วยความจำ,8 GB
ความจุ,128 GB
Memory Card,microSD (1)
กล้องหลัก,"ตัวที่ 1: 48 MP, 26mm (wide)
ตัวที่ 2: 8 MP, 123? (ultrawide)
ตัวที่ 3: 5 MP, (macro)
ตัวที่ 4: 2 MP, (depth)"
ความละเอียดวีดีโอ,1080p@30fps
กล้องหน้า,"ตัวที่ 1: 13 MP, (wide)"
Bluetooth,"5.0, A2DP, LE"
Wi-Fi,"802.11 a/b/g/n/ac, dual-b"
USB,Type-C
GPS,"with A-GPS, GLONASS, BDS,"
NFC,ไม่รองรับ
ความจุ,"5,000 mAh"
ประเภท,Non-removable Li-Po Batt
Fast Charging,รองรับ (15W)
วันเปิดตัว,สิงหาคม 2564
วันวางจำหน่าย,ยังไม่วางจำหน่าย
ขนาด,164.00 x 75.80 x 8.90 มม.
น้ำหนัก,205 กรัม
วัสดุ,"Glass front, plastic back, plastic frame"
SIM,"รองรับ 2 ซิมการ์ด (nano sim, nano sim)"
Technology,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,-
ความเร็ว,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps"
ประเภท,IPS LCD
ขนาดหน้าจอ,6.50 นิ้ว
ความละเอียด,720 x 1600 pixels
ระบบปฏิบัติการ,Android 11
ชิปประมวลผล,Samsung Exynos 850 S5E3830 2 GHz
ชิปกราฟิก,Mali-G52 MP1
หน่วยความจำ,4 GB
ความจุ,128 GB
Memory Card,ไม่รองรับ
กล้องหลัก,"ตัวที่ 1: 48 MP, f/2.0, 26mm (wide), AF
ตัวที่ 2: 5 MP, f/2.2, 123? (ultrawide)
ตัวที่ 3: 2 MP, f/2.4, (macro)
ตัวที่ 4: 2 MP, f/2.4, (depth)"
ความละเอียดวีดีโอ,1080p@30fps
กล้องหน้า,"ตัวที่ 1: 8 MP, f/2.2"
Bluetooth,"5.0, A2DP, LE"
Wi-Fi,"802.11 b/g/n, Wi-Fi Direc"
USB,Type-C
GPS,"with A-GPS, GLONASS, GALI"
NFC,ไม่รองรับ
ความจุ,"5,000 mAh"
ประเภท,Non-removable Li-Po Batt
Fast Charging,รองรับ (15W)
วันเปิดตัว,เมษายน 2556
วันวางจำหน่าย,"มิถุนายน 2556, วางจำหน่ายแล้ว"
ขนาด,105.00 x 57.80 x 11.80 มม.
น้ำหนัก,101 กรัม
วัสดุ,Plastic
SIM,รองรับ 1 ซิมการ์ด
Technology,"GPRS,EDGE, HSPA"
2G,850/900/1800/1900
3G,900/2100
4G,-
5G,-
ความเร็ว,"GPRS,EDGE, HSPA"
ประเภท,TFT LCD
ขนาดหน้าจอ,3.00 นิ้ว
ความละเอียด,320 x 240 pixels
ฟีเจอร์เพิ่มเติม,"สามารถให้ PC ใช้อินเตอร์เน็ตของสมาร์ทโฟนได้ด้วย Internet Tethering
สามารถใช้งาน Mobile Hotspot โดยแชร์อินเตอร์เน็ตบนสมาร์ทโฟนให้กับเครื่องอื่นๆแบบไร้สายได้
สามารถใช้งานเป็น USB Mass Storage ได้เพื่อโอนหรือย้ายข้อมูลบน PC
ใช้อินเตอร์เฟซ TouchWiz UI มาพร้อมกับ Android 4.1"
ระบบปฏิบัติการ,Android 4.1
ชิปประมวลผล,Single Core 0 MHz
ชิปกราฟิก,-1
หน่วยความจำ,512 MB
ความจุ,4 GB
Memory Card,microSD (32)
กล้องหลัก,ตัวที่ 1: 2 MP
ความละเอียดวีดีโอ,-1
กล้องหน้า,
Bluetooth,4
Wi-Fi,802.11b/g/n
USB,micro USB
GPS,"AGPS , Glonass"
NFC,ไม่รองรับ
ความจุ,"1,200 mAh"
ประเภท,Li-ion
วันเปิดตัว,กุมภาพันธ์ 2556
วันวางจำหน่าย,"มิถุนายน 2556, สินค้าจำหน่ายหมดแล้ว"
ขนาด,109.40 x 58.60 x 12.50 มม.
น้ำหนัก,112 กรัม
วัสดุ,Plastic
SIM,รองรับ 1 ซิมการ์ด
Technology,"GPRS,EDGE, HSPA"
2G,850/900/1800/1900
3G,900/2100
4G,-
5G,-
ความเร็ว,"GPRS,EDGE, HSPA"
ประเภท,TFT LCD
ขนาดหน้าจอ,3.27 นิ้ว
ความละเอียด,480 x 320 pixels
ฟีเจอร์เพิ่มเติม,"สามารถให้ PC ใช้อินเตอร์เน็ตของสมาร์ทโฟนได้ด้วย Internet Tethering
สามารถใช้งาน Mobile Hotspot โดยแชร์อินเตอร์เน็ตบนสมาร์ทโฟนให้กับเครื่องอื่นๆแบบไร้สายได้
สามารถใช้งานเป็น USB Mass Storage ได้เพื่อโอนหรือย้ายข้อมูลบน PC
ใช้อินเตอร์เฟซ TouchWiz UI มาพร้อมกับ Android 4.1 
ใช้กระจกแบบ Gorilla Glass ป้องกันรอยขีดข่วน"
ระบบปฏิบัติการ,Android 4.1
ชิปประมวลผล,Single Core 0 MHz
ชิปกราฟิก,-1
หน่วยความจำ,768 MB
ความจุ,4 GB
Memory Card,microSD (64)
กล้องหลัก,ตัวที่ 1: 3 MP
ความละเอียดวีดีโอ,-1
กล้องหน้า,
Bluetooth,4
Wi-Fi,802.11b/g/n
USB,micro USB
GPS,AGPS
NFC,ไม่รองรับ
ความจุ,"1,300 mAh"
ประเภท,Li-ion
วันเปิดตัว,พฤษภาคม 2559
วันวางจำหน่าย,"พฤษภาคม 2559, สินค้าจำหน่ายหมดแล้ว"
ขนาด,121.60 x 63.10 x 10.80 มม.
น้ำหนัก,123 กรัม
วัสดุ,Plastic
SIM,"รองรับ 2 ซิมการ์ด (n/a, n/a)"
Technology,"EDGE, HSPA"
2G,850/900/1800/1900
3G,850/900/2100
4G,-
5G,-
ความเร็ว,"EDGE, HSPA"
ประเภท,TFT LCD
ขนาดหน้าจอ,4.00 นิ้ว
ความละเอียด,800 x 480 pixels
ฟีเจอร์เพิ่มเติม,"สามารถแชร์อินเตอร์เน็ตให้อุปกรณ์อื่นได้
ใช้เป็น Diskdrive ได้เพื่อโอนหรือย้ายข้อมูลบน PC ได้"
ระบบปฏิบัติการ,Android 5.1
ชิปประมวลผล,Spreadtrum SC8830 1.2 GHz
ชิปกราฟิก,VideoCore IV
หน่วยความจำ,750 MB
ความจุ,8 GB
Memory Card,microSD (128)
กล้องหลัก,ตัวที่ 1: 5 MP
ความละเอียดวีดีโอ,720p (30fps)
กล้องหน้า,ตัวที่ 1: MP
Bluetooth,4.0
Wi-Fi,802.11 b/g/n
USB,micro USB
GPS,"GPS, Glonass"
NFC,ไม่รองรับ
ความจุ,"1,500 mAh"
ประเภท,Li-ion
วันเปิดตัว,สิงหาคม 2563
วันวางจำหน่าย,"สิงหาคม 2563, วางจำหน่ายแล้ว"
ขนาด,141.70 x 67.50 x 8.60 มม.
น้ำหนัก,150 กรัม
วัสดุ,Plastic
SIM,"รองรับ 2 ซิมการ์ด (nano sim, nano sim)"
Technology,"EDGE, HSPA+, LTE"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100
5G,-
ความเร็ว,"EDGE, HSPA+, LTE"
ประเภท,PLS LCD
ขนาดหน้าจอ,5.30 นิ้ว
ความละเอียด,1480 x 720 pixels
ระบบปฏิบัติการ,Android 10 Go
ชิปประมวลผล,MediaTek MT6739 1.5 GHz
ชิปกราฟิก,PowerVR GE8100
หน่วยความจำ,1 GB
ความจุ,16 GB
Memory Card,microSD (512)
กล้องหลัก,"ตัวที่ 1: 8 MP, f/2.2, AF"
ความละเอียดวีดีโอ,1080p@30fps
กล้องหน้า,"ตัวที่ 1: 5 MP, f/2.4"
Bluetooth,"5.0, A2DP, LE"
Wi-Fi,802.11 b/g/n
USB,micro USB
GPS,A-GPS
NFC,ไม่รองรับ
ความจุ,"3,000 mAh"
ประเภท,Non-removable Li-Ion
วันเปิดตัว,มิถุนายน 2558
วันวางจำหน่าย,"มิถุนายน 2558, วางจำหน่ายแล้ว"
ขนาด,121.40 x 62.90 x 10.70 มม.
น้ำหนัก,123 กรัม
วัสดุ,Plastic
SIM,"รองรับ 2 ซิมการ์ด (micro sim, micro sim)"
Technology,"EDGE, HSPA"
2G,850/900/1800/1900
3G,900/2100
4G,-
5G,-
ความเร็ว,"EDGE, HSPA"
ประเภท,TFT LCD
ขนาดหน้าจอ,4.00 นิ้ว
ความละเอียด,800 x 480 pixels
ฟีเจอร์เพิ่มเติม,"สามารถให้ PC ใช้อินเตอร์เน็ตของสมาร์ทโฟนได้ด้วย Internet Tethering
สามารถใช้งาน Mobile Hotspot โดยแชร์อินเตอร์เน็ตบนสมาร์ทโฟนให้กับเครื่องอื่นๆแบบไร้สายได้
สามารถใช้งานเป็น USB Mass Storage ได้เพื่อโอนหรือย้ายข้อมูลบน PC
ใช้อินเตอร์เฟซ TouchWiz UX มาพร้อมกับ Android 4.4
รองรับ 2 ซิม"
ระบบปฏิบัติการ,Android 4.4
ชิปประมวลผล,Dual Core 0 MHz
ชิปกราฟิก,VideoCore IV
หน่วยความจำ,512 MB
ความจุ,4 GB
Memory Card,microSD (64)
กล้องหลัก,ตัวที่ 1: 3 MP
ความละเอียดวีดีโอ,480
กล้องหน้า,ตัวที่ 1: MP
Bluetooth,4
Wi-Fi,802.11b/g/n
USB,micro USB
GPS,"Glonass, GPS"
NFC,ไม่รองรับ
ความจุ,"1,500 mAh"
ประเภท,Li-ion
วันเปิดตัว,กรกฏาคม 2557
วันวางจำหน่าย,"กรกฏาคม 2557, สินค้าจำหน่ายหมดแล้ว"
ขนาด,109.80 x 59.90 x 11.80 มม.
น้ำหนัก,108 กรัม
วัสดุ,Plastic
SIM,"รองรับ 2 ซิมการ์ด (micro sim, micro sim)"
Technology,"GPRS,EDGE, HSPA"
2G,850/900/1800/1900
3G,900/2100
4G,-
5G,-
ความเร็ว,"GPRS,EDGE, HSPA"
ประเภท,TFT LCD
ขนาดหน้าจอ,3.50 นิ้ว
ความละเอียด,480 x 320 pixels
ฟีเจอร์เพิ่มเติม,"สามารถแชร์อินเตอร์เน็ตให้อุปกรณ์อื่นได้
ใช้เป็น Diskdrive ได้เพื่อโอนหรือย้ายข้อมูลบน PC ได้"
ระบบปฏิบัติการ,Android 4.4
ชิปประมวลผล,Single Core 0 MHz
ชิปกราฟิก,Yes
หน่วยความจำ,512 MB
ความจุ,4 GB
Memory Card,microSD (32)
กล้องหลัก,ตัวที่ 1: 3 MP
ความละเอียดวีดีโอ,480i@24fps
กล้องหน้า,
Bluetooth,4
Wi-Fi,802.11b/g/n
USB,micro USB
GPS,"Glonass, GPS"
NFC,ไม่รองรับ
ความจุ,"1,300 mAh"
ประเภท,Li-ion
วันเปิดตัว,กุมภาพันธ์ 2564
วันวางจำหน่าย,"กุมภาพันธ์ 2564, วางจำหน่ายแล้ว"
ขนาด,164.00 x 75.90 x 9.10 มม.
น้ำหนัก,206 กรัม
วัสดุ,"Glass front, plastic back, plastic frame"
SIM,"รองรับ 2 ซิมการ์ด (nano sim, nano sim)"
Technology,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,-
ความเร็ว,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps"
ประเภท,PLS IPS
ขนาดหน้าจอ,6.50 นิ้ว
ความละเอียด,720 x 1600 pixels
ระบบปฏิบัติการ,Android 10
ชิปประมวลผล,MediaTek MT6739 1.5 GHz
ชิปกราฟิก,PowerVR GE8100
หน่วยความจำ,2 GB
ความจุ,32 GB
Memory Card,microSD (1)
กล้องหลัก,"ตัวที่ 1: 13 MP, f/1.9, (wide), AF
ตัวที่ 2: 2 MP, f/2.4, (macro)"
ความละเอียดวีดีโอ,1080p@30fps
กล้องหน้า,"ตัวที่ 1: 5 MP, f/2.0"
Bluetooth,"5.0, A2DP, LE"
Wi-Fi,"802.11 b/g/n, Wi-Fi Direc"
USB,micro USB
GPS,"with A-GPS, GLONASS"
NFC,ไม่รองรับ
ความจุ,"5,000 mAh"
ประเภท,Non-removable Li-Po Batt
วันเปิดตัว,มีนาคม 2563
วันวางจำหน่าย,"มิถุนายน 2563, วางจำหน่ายแล้ว"
ขนาด,161.40 x 76.30 x 8.00 มม.
น้ำหนัก,177 กรัม
วัสดุ,Plastic
SIM,"รองรับ 2 ซิมการ์ด (nano sim, nano sim)"
Technology,"EDGE, HSPA+, LTE Cat.9"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100
5G,-
ความเร็ว,"EDGE, HSPA+, LTE Cat.9"
ประเภท,TFT LCD
ขนาดหน้าจอ,6.40 นิ้ว
ความละเอียด,1560 x 720 pixels
ฟีเจอร์เพิ่มเติม,มาพร้อมระบบจำใบหน้า
ระบบปฏิบัติการ,Android 10
ชิปประมวลผล,Qualcomm Snapdragon 450 450 1.8 GHz
ชิปกราฟิก,Adreno 506
หน่วยความจำ,3 GB
ความจุ,32 GB
Memory Card,microSD (512)
กล้องหลัก,"ตัวที่ 1: 13 MP
ตัวที่ 2: 5 MP
ตัวที่ 3: 2 MP"
ความละเอียดวีดีโอ,1080p@30fps
กล้องหน้า,ตัวที่ 1: 8 MP
Bluetooth,"4.2, A2DP, LE"
Wi-Fi,802.11 b/g/n
USB,Type-C
GPS,A-GPS
NFC,ไม่รองรับ
ความจุ,"4,000 mAh"
ประเภท,Non-removable Li-Po Batt
วันเปิดตัว,มกราคม 2561
วันวางจำหน่าย,"เมษายน 2561, วางจำหน่ายแล้ว"
ขนาด,143.80 x 72.30 x 8.40 มม.
น้ำหนัก,153 กรัม
วัสดุ,Plastic
SIM,"รองรับ 2 ซิมการ์ด (micro sim, micro sim)"
Technology,"EDGE, HSPA,LTE"
2G,850/900/1800/1900
3G,850/900/2100
4G,Support
5G,-
ความเร็ว,"EDGE, HSPA,LTE"
ประเภท,Super AMOLED
ขนาดหน้าจอ,5.00 นิ้ว
ความละเอียด,960 x 540 pixels
ฟีเจอร์เพิ่มเติม,"สามารถแชร์อินเตอร์เน็ตให้อุปกรณ์อื่นได้
ใช้เป็น Diskdrive ได้เพื่อโอนหรือย้ายข้อมูลบน PC ได้"
ระบบปฏิบัติการ,Android 7.1
ชิปประมวลผล,Spreadtrum SC8830 1.4 GHz
ชิปกราฟิก,Mali-400MP2
หน่วยความจำ,1.5 GB
ความจุ,16 GB
Memory Card,microSD (256)
กล้องหลัก,ตัวที่ 1: 8 MP
ความละเอียดวีดีโอ,1080p (30fps)
กล้องหน้า,ตัวที่ 1: 5 MP
Bluetooth,4.1
Wi-Fi,802.11 b/g/n
USB,micro USB
GPS,"GPS,A-GPS, GLONASS"
NFC,ไม่รองรับ
ความจุ,"2,600 mAh"
ประเภท,Li-ion
วันเปิดตัว,กันยายน 2564
วันวางจำหน่าย,ยังไม่วางจำหน่าย
ขนาด,164.00 x 75.80 x 8.90 มม.
น้ำหนัก,205 กรัม
วัสดุ,"Glass front, plastic back, plastic frame"
SIM,"รองรับ 2 ซิมการ์ด (nano sim, nano sim)"
Technology,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,-
ความเร็ว,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps"
ประเภท,PLS IPS
ขนาดหน้าจอ,6.50 นิ้ว
ความละเอียด,720 x 1600 pixels
ระบบปฏิบัติการ,Android 11
ชิปประมวลผล,Samsung Exynos 850 S5E3830 2 GHz
ชิปกราฟิก,Mali-G52 MP1
หน่วยความจำ,4 GB
ความจุ,128 GB
Memory Card,microSD (1)
กล้องหลัก,"ตัวที่ 1: 48 MP, f/2.0, 26mm (wide), AF
ตัวที่ 2: 5 MP, f/2.2, 123? (ultrawide)
ตัวที่ 3: 2 MP, f/2.4, (macro)
ตัวที่ 4: 2 MP, f/2.4, (depth)"
ความละเอียดวีดีโอ,1080p@30fps
กล้องหน้า,"ตัวที่ 1: 8 MP, f/2.2"
Bluetooth,"5.0, A2DP, LE"
Wi-Fi,"802.11 b/g/n, Wi-Fi Direc"
USB,Type-C
GPS,"with A-GPS, GLONASS, GALI"
NFC,รอบรับ
ความจุ,"5,000 mAh"
ประเภท,Non-removable Li-Po Batt
Fast Charging,รองรับ (15W)
วันเปิดตัว,มีนาคม 2563
วันวางจำหน่าย,"มิถุนายน 2563, วางจำหน่ายแล้ว"
ขนาด,159.30 x 73.10 x 8.60 มม.
น้ำหนัก,185 กรัม
วัสดุ,Plastic
SIM,"รองรับ 2 ซิมการ์ด (nano sim, nano sim)"
Technology,"EDGE, HSPA+, LTE Cat.9"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,-
ความเร็ว,"EDGE, HSPA+, LTE Cat.9"
ประเภท,TFT LCD
ขนาดหน้าจอ,6.50 นิ้ว
ความละเอียด,1600 x 720 pixels
ฟีเจอร์เพิ่มเติม,"สามารถถ่าย Macro เก็บรายละเอียดภาพระยะใกล้ได้อย่างชัดเจน
มาพร้อม Samsung Knox ที่ติดตั้งมาในซอฟท์แวร์และฮาร์ดแวร์ในโทรศัพท์ ช่วยปกป้องโทรศัพท์ของคุณตั้งแต่นาทีแรกที่คุณเปิดเครื่อง"
ระบบปฏิบัติการ,Android 10
ชิปประมวลผล,Samsung Exynos 850 S5E3830 2 GHz
ชิปกราฟิก,Mali-G52 MP1
หน่วยความจำ,3 GB
ความจุ,32 GB
Memory Card,microSD (512)
กล้องหลัก,"ตัวที่ 1: 48 MP
ตัวที่ 2: 8 MP
ตัวที่ 3: 2 MP
ตัวที่ 4: 2 MP"
ความละเอียดวีดีโอ,1080p@30fps
กล้องหน้า,ตัวที่ 1: 13 MP
Bluetooth,5.0
Wi-Fi,802.11 a/b/g/n/ac
USB,Type-C 1.0 reversible connector
GPS,"A-GPS, GLONASS, GALILEO,"
NFC,รอบรับ
ความจุ,"5,000 mAh"
ประเภท,Non-removable Li-Po Batt
Fast Charging,รองรับ (15W)
วันเปิดตัว,พฤษภาคม 2559
วันวางจำหน่าย,"มิถุนายน 2559, วางจำหน่ายแล้ว"
ขนาด,145.80 x 72.30 x 8.10 มม.
น้ำหนัก,159 กรัม
วัสดุ,Plastic
SIM,"รองรับ 2 ซิมการ์ด (micro sim, micro sim)"
Technology,"EDGE, HSPA,LTE"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,Support
5G,-
ความเร็ว,"EDGE, HSPA,LTE"
ประเภท,Super AMOLED
ขนาดหน้าจอ,5.20 นิ้ว
ความละเอียด,1280 x 720 pixels
