Column1,Column2
ฟีเจอร์เพิ่มเติม,"สามารถแชร์อินเตอร์เน็ตให้อุปกรณ์อื่นได้
ใช้เป็น Diskdrive ได้เพื่อโอนหรือย้ายข้อมูลบน PC ได้
รองรับ ANT+
Samsung Galaxy J5 Version 2 รุ่นปี 2016"
ระบบปฏิบัติการ,Android 6.0
ชิปประมวลผล,Qualcomm Snapdragon 410 MSM8916 1.2 GHz
ชิปกราฟิก,Adreno 306
หน่วยความจำ,2 GB
ความจุ,16 GB
Memory Card,microSD (128)
กล้องหลัก,ตัวที่ 1: 13 MP
ความละเอียดวีดีโอ,1080p (30fps)
กล้องหน้า,ตัวที่ 1: 5 MP
Bluetooth,4.1
Wi-Fi,802.11 b/g/n
USB,micro USB
GPS,"GPS, Glonass, Beidou"
NFC,รอบรับ
ความจุ,"3,100 mAh"
ประเภท,Li-ion
วันเปิดตัว,กรกฏาคม 2561
วันวางจำหน่าย,"กรกฏาคม 2561, วางจำหน่ายแล้ว"
ขนาด,151.70 x 77.20 x 8.10 มม.
น้ำหนัก,175 กรัม
วัสดุ,Plastic
SIM,"รองรับ 2 ซิมการ์ด (micro sim, micro sim)"
Technology,"EDGE, HSPA,LTE"
2G,-
3G,850/900/1900/2100
4G,Support
5G,-
ความเร็ว,"EDGE, HSPA,LTE"
ประเภท,Super AMOLED
ขนาดหน้าจอ,5.50 นิ้ว
ความละเอียด,1280 x 720 pixels
ฟีเจอร์เพิ่มเติม,"สามารถแชร์อินเตอร์เน็ตให้อุปกรณ์อื่นได้
ใช้เป็น Diskdrive ได้เพื่อโอนหรือย้ายข้อมูลบน PC ได้
รองรับ multi-window , แชทได้ 2 แอคเคาท์(Dual Message)"
ระบบปฏิบัติการ,Android 8.0
ชิปประมวลผล,Samsung Exynos 7 7570 1.4 GHz
ชิปกราฟิก,Mali-T830MP2
หน่วยความจำ,2 GB
ความจุ,16 GB
Memory Card,microSD (128)
กล้องหลัก,ตัวที่ 1: 13 MP
ความละเอียดวีดีโอ,1080p (30fps)
กล้องหน้า,ตัวที่ 1: 5 MP
Bluetooth,"4.2, A2DP, LE"
Wi-Fi,802.11 b/g/n
USB,micro USB
GPS,"GPS, Glonass, Beidou"
NFC,รอบรับ
ความจุ,"3,000 mAh"
ประเภท,Li-ion
วันเปิดตัว,มิถุนายน 2557
วันวางจำหน่าย,"กรกฏาคม 2557, สินค้าจำหน่ายหมดแล้ว"
ขนาด,130.30 x 68.00 x 9.80 มม.
น้ำหนัก,138 กรัม
วัสดุ,Plastic
SIM,"รองรับ 2 ซิมการ์ด (n/a, n/a)"
Technology,"GPRS,EDGE, UMTS"
2G,850/900/1800/1900
3G,900/2100
4G,-
5G,-
ความเร็ว,"GPRS,EDGE, UMTS"
ประเภท,TFT LCD
ขนาดหน้าจอ,4.50 นิ้ว
ความละเอียด,800 x 480 pixels
ฟีเจอร์เพิ่มเติม,"สามารถแชร์อินเตอร์เน็ตให้อุปกรณ์อื่นได้
ใช้เป็น Diskdrive ได้เพื่อโอนหรือย้ายข้อมูลบน PC ได้
มาพร้อม TouchWiz UI และ Android 4.4"
ระบบปฏิบัติการ,Android 4.4
ชิปประมวลผล,Spreadtrum SC8830 1.2 GHz
ชิปกราฟิก,Mali-400MP2
หน่วยความจำ,768 MB
ความจุ,4 GB
Memory Card,microSD (64)
กล้องหลัก,ตัวที่ 1: 5 MP
ความละเอียดวีดีโอ,480P
กล้องหน้า,ตัวที่ 1: MP
Bluetooth,4.0
Wi-Fi,802.11b/g/n
USB,micro USB
GPS,"A-GPS ,GLONASS"
NFC,ไม่รองรับ
ความจุ,"2,000 mAh"
ประเภท,Li-ion
วันเปิดตัว,มิถุนายน 2555
วันวางจำหน่าย,"มิถุนายน 2555, สินค้าจำหน่ายหมดแล้ว"
ขนาด,114.50 x 62.50 x 11.20 มม.
น้ำหนัก,115 กรัม
วัสดุ,Plastic
SIM,รองรับ 1 ซิมการ์ด
Technology,"EDGE, HSPA"
2G,850/900/1800/1900
3G,900/2100
4G,-
5G,-
ความเร็ว,"EDGE, HSPA"
ประเภท,TFT LCD
ขนาดหน้าจอ,3.65 นิ้ว
ความละเอียด,480 x 320 pixels
ฟีเจอร์เพิ่มเติม,"สามารถแชร์อินเตอร์เน็ตให้อุปกรณ์อื่นได้
ใช้เป็น Diskdrive ได้เพื่อโอนหรือย้ายข้อมูลบน PC ได้
ใช้อินเตอร์เฟซ TouchWiz 4.0 มาพร้อมกับ Android 2.3 
ใช้กระจกแบบ Gorilla Glass ป้องกันรอยขีดข่วน"
ระบบปฏิบัติการ,Android 2.30
ชิปประมวลผล,Qualcomm Snapdragon S1 MSM7227A 800 MHz
ชิปกราฟิก,Adreno 200
หน่วยความจำ,512 MB
ความจุ,3 GB
Memory Card,microSD (32)
กล้องหลัก,ตัวที่ 1: 5 MP
ความละเอียดวีดีโอ,VGA (30 fps)
กล้องหน้า,
Bluetooth,3
Wi-Fi,802.11b/g/n
USB,micro USB
GPS,"GPS, AGPS"
NFC,ไม่รองรับ
ความจุ,"1,300 mAh"
ประเภท,Li-ion
วันเปิดตัว,เมษายน 2562
วันวางจำหน่าย,"เมษายน 2562, วางจำหน่ายแล้ว"
ขนาด,157.40 x 74.70 x 7.80 มม.
น้ำหนัก,169 กรัม
วัสดุ,"Front glass, plastic body"
SIM,"รองรับ 2 ซิมการ์ด (nano sim, nano sim)"
Technology,"EDGE,, HSPA+, LTE Cat.9"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100
5G,-
ความเร็ว,"EDGE,, HSPA+, LTE Cat.9"
ประเภท,
ขนาดหน้าจอ,6.40 นิ้ว
ความละเอียด,1520 x 720 pixels
ฟีเจอร์เพิ่มเติม,รองรับ ANT+
ระบบปฏิบัติการ,Android 9
ชิปประมวลผล,Samsung Exynos 7 7884 1.6 GHz
ชิปกราฟิก,Mali-G71
หน่วยความจำ,3 GB
ความจุ,32 GB
Memory Card,microSD (512)
กล้องหลัก,"ตัวที่ 1: 13 MP
ตัวที่ 2: 5 MP"
ความละเอียดวีดีโอ,1080p
กล้องหน้า,ตัวที่ 1: 8 MP
Bluetooth,"5.0, A2DP, LE"
Wi-Fi,802.11 b/g/n
USB,Type-C
GPS,"GPS,A-GPS, GLONASS, BDS"
NFC,ไม่รองรับ
ความจุ,"4,000 mAh"
ประเภท,Li - Polymer
Fast Charging,รองรับ (Fast battery charging 15W)
วันเปิดตัว,สิงหาคม 2555
วันวางจำหน่าย,ยังไม่วางจำหน่าย
ขนาด,118.90 x 59.30 x 11.70 มม.
น้ำหนัก,112 กรัม
วัสดุ,Plastic
SIM,รองรับ 1 ซิมการ์ด
Technology,HSDPA
2G,850/900/1800/1900
3G,900/2100
4G,-
5G,-
ความเร็ว,HSDPA
ประเภท,TFT LCD
ขนาดหน้าจอ,3.00 นิ้ว
ความละเอียด,320 x 240 pixels
ฟีเจอร์เพิ่มเติม,"สามารถแชร์อินเตอร์เน็ตให้อุปกรณ์อื่นได้
ใช้เป็น Diskdrive ได้เพื่อโอนหรือย้ายข้อมูลบน PC ได้
ใช้อินเตอร์เฟซ TouchWiz UI มาพร้อม Android 4.0
มาพร้อม QWERTY"
ระบบปฏิบัติการ,Android 4.00
ชิปประมวลผล,Single Core 0 MHz
ชิปกราฟิก,-1
หน่วยความจำ,-1 MB
ความจุ,4 GB
Memory Card,microSD (32)
กล้องหลัก,ตัวที่ 1: 2 MP
ความละเอียดวีดีโอ,VGA
กล้องหน้า,
Bluetooth,3.0
Wi-Fi,802.11b/g/n
USB,micro USB
GPS,"GPS, AGPS"
NFC,ไม่รองรับ
ความจุ,"1,200 mAh"
ประเภท,Li-ion
วันเปิดตัว,มกราคม 2554
วันวางจำหน่าย,สินค้าจำหน่ายหมดแล้ว
ขนาด,110.50 x 57.50 x 12.10 มม.
น้ำหนัก,102 กรัม
วัสดุ,Plastic
SIM,รองรับ 1 ซิมการ์ด
Technology,"EDGE, HSPA"
2G,850/900/1800/1900
3G,900/2100
4G,-
5G,-
ความเร็ว,"EDGE, HSPA"
ประเภท,LCD
ขนาดหน้าจอ,3.20 นิ้ว
ความละเอียด,480 x 320 pixels
ฟีเจอร์เพิ่มเติม,"สามารถให้ PC ใช้อินเตอร์เน็ตของสมาร์ทโฟนได้ด้วย Internet Tethering
สามารถใช้งาน Mobile Hotspot โดยแชร์อินเตอร์เน็ตบนสมาร์ทโฟนให้กับเครื่องอื่นๆแบบไร้สายได้
สามารถใช้งานเป็น USB Mass Storage ได้เพื่อโอนหรือย้ายข้อมูลบน PC
ใช้อินเตอร์เฟซ TouchWiz 3.0 มาพร้อมกับ Android 2.2"
ระบบปฏิบัติการ,Android 2.30
ชิปประมวลผล,Qualcomm MSM7227 800 MHz
ชิปกราฟิก,Adreno 200
หน่วยความจำ,384 MB
ความจุ,512 MB
Memory Card,microSD (32)
กล้องหลัก,ตัวที่ 1: 3 MP
ความละเอียดวีดีโอ,240p (15 fps)
กล้องหน้า,
Bluetooth,2.1
Wi-Fi,802.11b/g/n
USB,micro USB
GPS,"GPS, AGPS"
NFC,ไม่รองรับ
ความจุ,"1,350 mAh"
ประเภท,Li-ion
วันเปิดตัว,พฤษภาคม 2564
วันวางจำหน่าย,ยังไม่วางจำหน่าย
ขนาด,212.50 x 124.70 x 8.00 มม.
น้ำหนัก,366 กรัม
วัสดุ,"Glass front, aluminum back, aluminum frame, plastic ends"
SIM,รองรับ 1 ซิมการ์ด (nano sim)
Technology,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 400/50 Mbps"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,-
ความเร็ว,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 400/50 Mbps"
ประเภท,TFT
ขนาดหน้าจอ,8.70 นิ้ว
ความละเอียด,800 x 1340 pixels
ระบบปฏิบัติการ,Android 11
ชิปประมวลผล,MediaTek Helio P22T MT6762 2.3 GHz
ชิปกราฟิก,PowerVR GE8320
หน่วยความจำ,4 GB
ความจุ,64 GB
Memory Card,ไม่รองรับ
กล้องหลัก,"ตัวที่ 1: 8 MP, AF"
ความละเอียดวีดีโอ,1080p@30fps
กล้องหน้า,ตัวที่ 1: 2 MP
Bluetooth,"5.0, A2DP, LE"
Wi-Fi,"802.11 a/b/g/n/ac, dual-b"
USB,Type-C
GPS,"with A-GPS, GLONASS, BDS,"
NFC,ไม่รองรับ
ความจุ,"5,100 mAh"
ประเภท,Non-removable Li-Po Batt
Fast Charging,รองรับ (15W)
วันเปิดตัว,สิงหาคม 2561
วันวางจำหน่าย,ยังไม่วางจำหน่าย
ขนาด,260.00 x 161.10 x 8.00 มม.
น้ำหนัก,529 กรัม
วัสดุ,Plastic
SIM,รองรับ 1 ซิมการ์ด (n/a)
Technology,N/A
2G,-
3G,-
4G,-
5G,-
ความเร็ว,N/A
ประเภท,TFT LCD
ขนาดหน้าจอ,10.50 นิ้ว
ความละเอียด,1920 x 1200 pixels
ฟีเจอร์เพิ่มเติม,"สามารถแชร์อินเตอร์เน็ตให้อุปกรณ์อื่นได้
ใช้เป็น Diskdrive ได้เพื่อโอนหรือย้ายข้อมูลบน PC ได้
มาพร้อม Ultra-Power Saving Mode"
ระบบปฏิบัติการ,Android 8
ชิปประมวลผล,Qualcomm Snapdragon 450 450 1.8 GHz
ชิปกราฟิก,Adreno 506
หน่วยความจำ,3 GB
ความจุ,32 GB
Memory Card,microSD (400)
กล้องหลัก,ตัวที่ 1: 8 MP
ความละเอียดวีดีโอ,1080p (30 fps)
กล้องหน้า,ตัวที่ 1: 5 MP
Bluetooth,4.2
Wi-Fi,802.11 a/b/g/n/ac
USB,Type-C 1.0 reversible connector
GPS,"GPS, GLONASS ,BeiDou"
NFC,ไม่รองรับ
ความจุ,"7,300 mAh"
ประเภท,Li - Polymer
วันเปิดตัว,สิงหาคม 2557
วันวางจำหน่าย,"กันยายน 2557, สินค้าจำหน่ายหมดแล้ว"
ขนาด,132.40 x 65.50 x 6.70 มม.
น้ำหนัก,115 กรัม
วัสดุ,Metel
SIM,รองรับ 1 ซิมการ์ด (nano sim)
Technology,"EDGE, HSPA, HSPA+,LTE Cat.6"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,Support
5G,-
ความเร็ว,"EDGE, HSPA, HSPA+,LTE Cat.6"
ประเภท,Super AMOLED HD
ขนาดหน้าจอ,4.70 นิ้ว
ความละเอียด,1280 x 720 pixels
ฟีเจอร์เพิ่มเติม,"สามารถแชร์อินเตอร์เน็ตให้อุปกรณ์อื่นได้
ใช้เป็น Diskdrive ได้เพื่อโอนหรือย้ายข้อมูลบน PC ได้
มาพร้อมอินเตอร์เฟซ TouchWiz UX และ Android 4.4
มีระบบป้องกันเสียงรบกวนจากภายนอกเวลาสนทนา
รองรับการเปิดใช้งานหลายโปรแกรมในเวลาเดียวกัน
มาพร้อม Ultra Power Saving Mode ,Download Booster,Quick Connect,Private Mode
มาพร้อม Finger Print Scanner
รองรับการเชื่อมต่อกับ Samsung Gear Fit, Gear Live และ Gear 2"
ระบบปฏิบัติการ,Android 4.4
ชิปประมวลผล,Samsung Exynos 5430 1.8 GHz
ชิปกราฟิก,Mali-T628
หน่วยความจำ,2 GB
ความจุ,32 GB
Memory Card,ไม่รองรับ
กล้องหลัก,ตัวที่ 1: 12 MP
ความละเอียดวีดีโอ,4K @30fps
กล้องหน้า,ตัวที่ 1: 2 MP
Bluetooth,4.0 BLE / ANT+
Wi-Fi,802.11 a/b/g/n/ac
USB,micro USB
GPS,"GPS ,Glonass , AGPS"
NFC,รอบรับ
ความจุ,"1,860 mAh"
ประเภท,Li-ion
วันเปิดตัว,มีนาคม 2557
วันวางจำหน่าย,สินค้าจำหน่ายหมดแล้ว
ขนาด,133.00 x 66.00 x 9.70 มม.
น้ำหนัก,139 กรัม
วัสดุ,Plastic
SIM,รองรับ 1 ซิมการ์ด
Technology,"EDGE, HSPA"
2G,850/900/1800/1900
3G,850/900/2100
4G,-
5G,-
ความเร็ว,"EDGE, HSPA"
ประเภท,TFT LCD
ขนาดหน้าจอ,4.50 นิ้ว
ความละเอียด,960 x 540 pixels
ฟีเจอร์เพิ่มเติม,"สามารถแชร์อินเตอร์เน็ตให้อุปกรณ์อื่นได้
ใช้เป็น Diskdrive ได้เพื่อโอนหรือย้ายข้อมูลบน PC ได้
มาพร้อม TouchWiz UI และ Android 4.2"
ระบบปฏิบัติการ,Android 4.2
ชิปประมวลผล,Quad Core 0 MHz
ชิปกราฟิก,Yes
หน่วยความจำ,1 GB
ความจุ,8 GB
Memory Card,microSD (32)
กล้องหลัก,ตัวที่ 1: 5 MP
ความละเอียดวีดีโอ,-1
กล้องหน้า,ตัวที่ 1: MP
Bluetooth,4.0
Wi-Fi,802.11 a/b/g/n
USB,micro USB
GPS,"GPS, AGPS"
NFC,ไม่รองรับ
ความจุ,"2,100 mAh"
ประเภท,Li-ion
วันเปิดตัว,มิถุนายน 2556
วันวางจำหน่าย,"กรกฏาคม 2556, สินค้าจำหน่ายหมดแล้ว"
ขนาด,125.50 x 63.50 x 15.40 มม.
น้ำหนัก,208 กรัม
วัสดุ,Plastic
SIM,รองรับ 1 ซิมการ์ด
Technology,"EDGE, HSPA, HSPA+ , LTE"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,Support
5G,-
ความเร็ว,"EDGE, HSPA, HSPA+ , LTE"
ประเภท,Super AMOLED
ขนาดหน้าจอ,4.30 นิ้ว
ความละเอียด,960 x 540 pixels
ฟีเจอร์เพิ่มเติม,"สามารถแชร์อินเตอร์เน็ตให้อุปกรณ์อื่นได้
ใช้เป็น Diskdrive ได้เพื่อโอนหรือย้ายข้อมูลบน PC ได้
มาพร้อมอินเตอร์เฟซ TouchWiz UX และ Android 4.2
มีระบบป้องกันเสียงรบกวนจากภายนอกเวลาสนทนา
Adapt Display ช่วยปรับหน้าจอผู้ใช้ให้เหมาะกับการใช้งานต่างๆ สามารถปรับได้ทั้งสี ความสว่าง contrast อัตโนมัติ
กล้อง 10x optical zoom (24-240mm), optical image stabilization"
ระบบปฏิบัติการ,Android 4.2.2
ชิปประมวลผล,Samsung Exynos 4212 1.5 GHz
ชิปกราฟิก,Mali-400MP
หน่วยความจำ,1.5 GB
ความจุ,8 GB
Memory Card,microSD (64)
กล้องหลัก,ตัวที่ 1: 16 MP
ความละเอียดวีดีโอ,1080p (30 fps)
กล้องหน้า,ตัวที่ 1: 2 MP
Bluetooth,4.0
Wi-Fi,802.11 a/b/g/n
USB,micro USB
GPS,"Glonass , AGPS"
NFC,รอบรับ
ความจุ,"2,330 mAh"
ประเภท,Li-ion
วันเปิดตัว,มกราคม 2556
วันวางจำหน่าย,ยังไม่วางจำหน่าย
ขนาด,130.50 x 67.70 x 12.00 มม.
น้ำหนัก,148 กรัม
วัสดุ,N/A
SIM,รองรับ 1 ซิมการ์ด
Technology,"HSDPA,HSUPA+,EDGE"
2G,850/900/1800/1900
3G,900/2100
4G,-
5G,-
ความเร็ว,"HSDPA,HSUPA+,EDGE"
ประเภท,TFT LCD
ขนาดหน้าจอ,4.00 นิ้ว
ความละเอียด,800 x 480 pixels
ฟีเจอร์เพิ่มเติม,"สามารถแชร์อินเตอร์เน็ตให้อุปกรณ์อื่นได้
ใช้เป็น Diskdrive ได้เพื่อโอนหรือย้ายข้อมูลบน PC ได้
ใช้อินเตอร์เฟซ TouchWiz UI มาพร้อมกับ Android 4.1"
ระบบปฏิบัติการ,Android 4.1
ชิปประมวลผล,Dual Core 0 MHz
ชิปกราฟิก,-1
หน่วยความจำ,1 GB
ความจุ,4 GB
Memory Card,microSD (32)
กล้องหลัก,ตัวที่ 1: 5 MP
ความละเอียดวีดีโอ,720p
กล้องหน้า,ตัวที่ 1: 0 MP
Bluetooth,4
Wi-Fi,802.11b/g/n
USB,micro USB
GPS,"GPS, A-GPS, Glonass"
NFC,ไม่รองรับ
ความจุ,"1,700 mAh"
ประเภท,Li-ion
วันเปิดตัว,ตุลาคม 2554
วันวางจำหน่าย,"ตุลาคม 2554, สินค้าจำหน่ายหมดแล้ว"
ขนาด,256.20 x 172.90 x 8.60 มม.
น้ำหนัก,470 กรัม
วัสดุ,Plastic
SIM,รองรับ 1 ซิมการ์ด
Technology,"EDGE, HSPA, HSPA+"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,-
5G,-
ความเร็ว,"EDGE, HSPA, HSPA+"
ประเภท,LCD
ขนาดหน้าจอ,8.90 นิ้ว
ความละเอียด,1280 x 800 pixels
ฟีเจอร์เพิ่มเติม,"สามารถให้ PC ใช้อินเตอร์เน็ตของสมาร์ทโฟนได้ด้วย Internet Tethering
สามารถใช้งาน Mobile Hotspot โดยแชร์อินเตอร์เน็ตบนสมาร์ทโฟนให้กับเครื่องอื่นๆแบบไร้สายได้
สามารถใช้งานเป็น USB Mass Storage ได้เพื่อโอนหรือย้ายข้อมูลบน PC
ใช้อินเตอร์เฟซ TouchWiz UX มาพร้อมกับ Android 3.0"
ระบบปฏิบัติการ,Android 3.00
ชิปประมวลผล,NVIDIA Tegra 2 1 GHz
ชิปกราฟิก,ULP Geforce
หน่วยความจำ,1 GB
ความจุ,16 GB
Memory Card,ไม่รองรับ
กล้องหลัก,ตัวที่ 1: 3 MP
ความละเอียดวีดีโอ,720p
กล้องหน้า,ตัวที่ 1: 2 MP
Bluetooth,3
Wi-Fi,802.11b/g/n
USB,รอบรับ
GPS,"GPS, AGPS"
NFC,ไม่รองรับ
ความจุ,"6,100 mAh"
ประเภท,Li-Polymer
วันเปิดตัว,มกราคม 2565
วันวางจำหน่าย,"มกราคม 2565, วางจำหน่ายแล้ว"
ขนาด,246.80 x 161.90 x 6.90 มม.
น้ำหนัก,508 กรัม
วัสดุ,ไม่รองรับ
SIM,รองรับ 1 ซิมการ์ด (nanosim)
Technology,"HSPA 42.2/5.76 Mbps, LTE"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,-
ความเร็ว,"HSPA 42.2/5.76 Mbps, LTE"
ประเภท,TFT
ขนาดหน้าจอ,10.50 นิ้ว
ความละเอียด,1200 x 1920 pixels
ระบบปฏิบัติการ,Android 11
ชิปประมวลผล,Spreadtrum Unisoc Tiger T618 2 GHz
ชิปกราฟิก,Mali-G52 MC2
หน่วยความจำ,4 GB
ความจุ,128 GB
Memory Card,ไม่รองรับ
กล้องหลัก,"ตัวที่ 1: 8 MP, AF"
ความละเอียดวีดีโอ,1080p@30fps
กล้องหน้า,ตัวที่ 1: 5 MP
Bluetooth,"5.0, A2DP, LE"
Wi-Fi,"802.11 a/b/g/n/ac, dual-b"
USB,Type-C
GPS,"A-GPS, GLONASS, BDS, GALI"
NFC,ไม่รองรับ
ความจุ,"7,040 mAh"
ประเภท,Non-removable Li-Po Batt
Fast Charging,รองรับ (15W)
วันเปิดตัว,ธันวาคม 2560
วันวางจำหน่าย,"ธันวาคม 2560, วางจำหน่ายแล้ว"
ขนาด,149.20 x 70.60 x 8.40 มม.
น้ำหนัก,172 กรัม
วัสดุ,aluminium
SIM,รองรับ 1 ซิมการ์ด (nano sim)
Technology,"EDGE, HSPA, HSPA+, LTE"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,Support
5G,-
ความเร็ว,"EDGE, HSPA, HSPA+, LTE"
ประเภท,
ขนาดหน้าจอ,5.60 นิ้ว
ความละเอียด,2220 x 1080 pixels
ฟีเจอร์เพิ่มเติม,"สามารถแชร์อินเตอร์เน็ตให้อุปกรณ์อื่นได้
ใช้เป็น Diskdrive ได้เพื่อโอนหรือย้ายข้อมูลบน PC ได้
กล้องหน้ามาพร้อม Wide Selfie, Rear-cam Selfie, Beauty Face Features
มาพร้อมระบบ Ultra Power Saving Mode, Changeable Theme
มาพร้อม สแกนลายนิ้วมือ (Fingerprint)
Fast battery charging
ANT+ support"
ระบบปฏิบัติการ,Android 7.1
ชิปประมวลผล,Samsung Exynos 7 7885 2.2 GHz
ชิปกราฟิก,-1
หน่วยความจำ,4 GB
ความจุ,32 GB
Memory Card,microSD (256)
กล้องหลัก,ตัวที่ 1: 16 MP
ความละเอียดวีดีโอ,1080p@30fps
กล้องหน้า,
Bluetooth,5.0 LE
Wi-Fi,802.11 a/b/g/n/ac
USB,Type-C
GPS,"A-GPS, GLONASS, BDS"
NFC,รอบรับ
ความจุ,"3,000 mAh"
ประเภท,Li-ion
วันเปิดตัว,เมษายน 2557
วันวางจำหน่าย,ยังไม่วางจำหน่าย
ขนาด,210.00 x 124.00 x 7.95 มม.
น้ำหนัก,320 กรัม
วัสดุ,Plastic
SIM,
Technology,N/A
2G,-
3G,-
4G,-
5G,-
ความเร็ว,N/A
ประเภท,TFT LCD
ขนาดหน้าจอ,8.00 นิ้ว
ความละเอียด,1280 x 800 pixels
ฟีเจอร์เพิ่มเติม,"User Interface แบบ Samsung TouchWiz และ Samsung Live Panel UX 
สามารถแชร์อินเตอร์เน็ตให้อุปกรณ์อื่นได้
ใช้เป็น Diskdrive ได้เพื่อโอนหรือย้ายข้อมูลบน PC ได้
มาพร้อม ChatON, MultiWindow, Samsung Kies, Samsung Apps, Samsung Link"
ระบบปฏิบัติการ,Android 4.4
ชิปประมวลผล,QuadCore 1.2 GHz
ชิปกราฟิก,Yes
หน่วยความจำ,1.5 GB
ความจุ,16 GB
Memory Card,microSD (64)
กล้องหลัก,ตัวที่ 1: 3 MP
ความละเอียดวีดีโอ,720P
กล้องหน้า,ตัวที่ 1: 1 MP
Bluetooth,4.0
Wi-Fi,802.11 a/b/g/n
USB,micro USB
GPS,"GPS, GLONASS"
NFC,ไม่รองรับ
ความจุ,"4,450 mAh"
ประเภท,Li-ion
วันเปิดตัว,มีนาคม 2565
วันวางจำหน่าย,ยังไม่วางจำหน่าย
ขนาด,165.40 x 76.90 x 9.40 มม.
น้ำหนัก,215 กรัม
วัสดุ,"Glass front, plastic frame, plastic back"
SIM,"รองรับ 2 ซิมการ์ด (nano sim, nano sim)"
Technology,"HSPA 42.2/5.76 Mbps, LTE-A, 5G"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,2100/2600/3500/4700
ความเร็ว,"HSPA 42.2/5.76 Mbps, LTE-A, 5G"
ประเภท,TFT
ขนาดหน้าจอ,6.60 นิ้ว
ความละเอียด,1080 x 2408 pixels
ระบบปฏิบัติการ,Android 12
ชิปประมวลผล,Octa Core 0 MHz
ชิปกราฟิก,Mali-G57 MC3
หน่วยความจำ,8 GB
ความจุ,128 GB
